number,instrument_id,currency_id,currency_2_id,sign_id,deal_rate,amount,book_value,portfolio_id,state_id,cp_client_id,owner_id,Cluster,Anomaly
1,42,32,23,3,1,10823,10822,1,1,1,1,1,0
2,42,32,23,1,1,180,180,17,1,1,1,0,0
3,42,32,23,1,1359,2291,2291,13,1,1,1,0,0
4,17,13,23,3,1358,9134,9133,13,1,1,1,3,0
5,42,32,23,3,1359,7682,7681,17,1,1,1,1,0
6,17,13,23,1,1358,1560,1560,16,1,1,1,0,0
7,12,11,23,1,1,1321,1321,13,1,1,1,0,0
8,10,9,23,3,1811,10838,10837,13,1,1,1,3,0
9,12,11,23,3,1,9417,9416,15,1,1,1,3,0
10,10,9,23,1,1811,170,170,16,1,1,1,0,0
11,42,32,23,1,1436,1626,1626,13,1,1,1,0,0
12,1,1,23,3,1441,9503,9502,13,1,1,1,3,0
13,42,32,23,3,1436,9041,9040,17,1,1,1,1,0
14,1,1,23,1,1441,1246,1246,16,1,1,1,0,0
15,7,6,23,1,1,641,641,9,1,1,1,0,0
16,7,6,23,3,1,10204,10203,14,1,1,1,3,0
17,14,11,20,3,2165,8469,8468,11,1,2,1,3,0
18,42,32,23,1,1,818,818,17,1,1,1,0,0
19,42,32,23,3,1,9988,9987,27,1,1,1,1,0
20,12,11,23,3,1,11019,11018,8,1,1,1,3,0
21,12,11,23,1,1,37,37,15,1,1,1,0,0
22,42,32,23,3,1358,10219,10218,9,1,1,1,1,0
23,42,32,23,1,1358,631,631,17,1,1,1,0,0
24,12,11,23,3,1,10344,10343,13,1,1,1,3,0
25,42,32,23,1,1527,482,482,13,1,1,1,0,0
26,12,11,23,1,1,530,530,15,1,1,1,0,0
27,42,32,23,3,1527,10397,10396,17,1,1,1,1,0
28,14,17,20,1,1379,146,146,11,1,2,1,0,0
29,14,32,20,1,1946,3728,3728,11,1,2,1,0,0
30,12,11,23,3,1,8420,8419,15,1,1,1,3,0
31,12,11,23,1,1,2008,2008,26,1,1,1,0,0
32,42,32,23,3,1,10809,10808,1,1,1,1,1,0
33,42,32,23,1,1,188,188,17,1,1,1,0,0
