number,instrument_id,currency_id,currency_2_id,sign_id,deal_rate,amount,book_value,portfolio_id,state_id,cp_client_id,owner_id,Cluster,Anomaly,cluster,distance_to_centroid,outlier
1,42,32,23,3,1,10823,10822,1,1,1,1,1,0,2,4.859446064127326,True
19,42,32,23,3,1,9988,9987,27,1,1,1,1,0,2,4.453601652201141,True
32,42,32,23,3,1,10809,10808,1,1,1,1,1,0,2,4.854459526034882,True
54,42,32,23,3,1,9999,9998,27,1,1,1,1,0,2,4.4503971413358485,True
68,42,32,23,3,1,10800,10799,1,1,1,1,1,0,2,4.849512338867123,True
97,3,3,23,3,1,6867,6866,26,1,1,1,0,0,0,4.283795710645351,True
123,42,32,23,3,1,9635,9634,27,1,1,1,1,0,2,4.413273577206195,True
127,42,32,23,3,1,10800,10799,1,1,1,1,1,0,2,4.843112150262781,True
151,42,32,23,3,1,9642,9641,27,1,1,1,1,0,2,4.410454349098884,True
161,42,32,23,3,1,10800,10799,1,1,1,1,1,0,2,4.839440596500854,True
170,42,32,23,3,1,9667,9666,27,1,1,1,1,0,2,4.410016608411443,True
179,42,32,23,3,1,10802,10801,1,1,1,1,1,0,2,4.837729813422915,True
217,42,32,23,3,1,9642,9641,27,1,1,1,1,0,2,4.402661763276553,True
244,42,32,23,3,1,10804,10803,1,1,1,1,1,0,2,4.8309860173640535,True
272,42,32,23,3,1,9642,9641,27,1,1,1,1,0,2,4.396204967034237,True
292,3,3,23,3,1,6856,6855,26,1,1,1,0,0,0,4.270684615581233,True
300,42,32,23,3,1,10832,10831,1,1,1,1,1,0,2,4.82823508125234,True
324,42,32,23,3,1,9681,9680,27,1,1,1,1,0,2,4.392979775106048,True
341,42,32,23,3,1,10831,10830,1,1,1,1,1,0,2,4.823772292388148,True
373,42,32,23,3,1,9561,9560,27,1,1,1,1,0,2,4.378731606235718,True
516,42,32,23,3,1,10839,10838,1,1,1,1,1,0,2,4.806349466053497,True
662,42,32,23,3,1,9572,9571,27,1,1,1,1,0,2,4.3464143690610895,True
883,42,32,23,3,1,4540,4539,6,1,1,1,1,0,2,4.34527740014613,True
885,42,32,23,3,1,4910,4909,6,1,1,1,1,0,2,4.286828403074862,True
887,42,32,23,3,1,3952,3951,6,1,1,1,1,0,2,4.448652673672077,True
902,42,32,23,3,1,10835,10834,1,1,1,1,1,0,2,4.7665862179733605,True
1061,14,32,5,1,1884,1491,1491,10,1,3,1,0,0,1,4.514088003578816,True
1062,14,32,7,1,1889,1331,1331,10,1,3,1,0,0,1,4.259152030734621,True
1071,14,32,1,3,1799,8951,8950,10,1,3,1,3,0,2,4.960407211769337,True
1072,14,32,3,3,1675,9237,9236,10,1,3,1,3,0,2,4.681829547922813,True
1073,14,32,4,3,1587,10330,10329,10,1,3,1,3,0,2,4.625885547142314,True
1074,14,32,6,3,2352,9141,9140,10,1,3,1,3,0,2,4.339191966858628,True
1094,42,32,23,3,1,9541,9540,27,1,1,1,1,0,2,4.296617195295538,True
1098,14,32,4,3,1586,9132,9131,9,1,1,1,3,0,2,4.549697718129098,True
1099,14,32,4,1,1586,1561,1561,10,1,1,1,0,0,1,4.568348758718662,True
1106,42,32,23,3,1,10835,10834,1,1,1,1,1,0,2,4.746482841432132,True
1144,42,32,23,3,1,9547,9546,27,1,1,1,1,0,2,4.291658375862425,True
1176,42,32,23,3,1,10835,10834,1,1,1,1,1,0,2,4.73969215694465,True
1216,42,32,23,3,1,10001,10000,27,1,1,1,1,0,2,4.3202248871095215,True
1230,42,32,23,3,1,10825,10824,1,1,1,1,1,0,2,4.733313896589343,True
1254,42,32,23,3,1,10019,10018,27,1,1,1,1,0,2,4.317859457443245,True
1266,42,32,23,3,1,10825,10824,1,1,1,1,1,0,2,4.729864229724699,True
1312,42,32,23,3,1,9994,9993,27,1,1,1,1,0,2,4.309529002744046,True
1321,9,8,8,3,1925,3966,3965,4,1,2,1,0,0,2,4.6476297318788165,True
1322,9,8,8,3,1924,4398,4397,4,1,2,1,0,0,2,4.573512690322136,True
1323,9,8,8,1,1923,3597,3597,4,1,2,1,0,0,1,4.498698548996603,True
1324,9,8,8,1,1922,3660,3660,4,1,2,1,0,0,1,4.503923099989003,True
1325,9,8,8,1,1920,3830,3830,4,1,2,1,0,0,1,4.519128222665269,True
1326,9,8,8,1,1918,3731,3731,4,1,2,1,0,0,1,4.50960570320578,True
1327,9,8,8,1,1917,3533,3533,4,1,2,1,0,0,1,4.492267258588971,True
1328,9,8,8,1,1913,3782,3782,4,1,2,1,0,0,1,4.513532634299498,True
1329,9,8,8,1,1912,3843,3843,4,1,2,1,0,0,1,4.519074252777956,True
1330,9,8,8,3,1925,4001,4000,4,1,2,1,0,0,2,4.640509464528732,True
